Symbol,Year,Month,Day,Open,High,Low,Volume,Market Cap,Volatility25,SMA25,EMA25,ATR25,RSI25,Close,NextClose
btc,2020,2,9,9890.51,10136.29,9882.11,30830691930.95,181866640936.17,502.29,9116.57,9273.43,271.03,69.33,10128.75,9869.44
btc,2020,2,10,10128.72,10154.4,9787.32,32809761670.32,179314120889.56,516.94,9162.47,9319.28,276.36,64.72,9869.44,10229.7
btc,2020,2,11,9859.71,10283.61,9729.95,32344589624.23,179739260248.32,556.25,9214.79,9389.31,286.12,66.11,10229.7,10327.55
btc,2020,2,12,10220.51,10396.61,10220.51,37536325030.77,186429089122.68,595.28,9270.71,9461.48,287.23,66.85,10327.55,10225.42
btc,2020,2,13,10313.91,10458.55,10104.99,40279999808.96,185753452118.88,612.17,9331.83,9520.25,278.05,69.01,10225.42,10327.51
btc,2020,2,14,10229.15,10360.53,10110.83,38621696717.55,185324696688.49,625.55,9399.37,9582.35,280.09,70.78,10327.51,9903.08
btc,2020,2,15,10328.12,10366.44,9862.31,35159749254.72,183357305740.19,618.02,9445.59,9607.02,291.1,63.19,9903.08,9969.24
btc,2020,2,16,9908.08,10032.34,9687.01,36525467233.55,179092557524.82,604.73,9497.45,9634.88,298.64,64.83,9969.24,9712.0
btc,2020,2,17,9939.76,9940.39,9481.85,39598298473.51,175667186732.82,560.14,9550.27,9640.81,302.39,65.19,9712.0,10144.9
btc,2020,2,18,9700.84,10209.59,9620.5,38169582164.27,177769828118.06,521.83,9618.45,9679.59,315.23,68.01,10144.9,9621.77
btc,2020,2,19,10152.94,10214.65,9603.34,37096619902.53,182314328777.6,452.04,9668.67,9675.14,333.33,62.12,9621.77,9612.39
btc,2020,2,20,9612.46,9656.52,9483.96,38453745129.31,173334512100.29,392.87,9709.53,9670.31,328.85,60.29,9612.39,9683.45
btc,2020,2,21,9600.49,9746.93,9576.36,33072200100.22,175008291937.88,354.59,9741.04,9671.32,321.51,58.33,9683.45,9667.52
btc,2020,2,22,9683.66,9700.68,9582.98,29322369849.74,174531980209.11,344.82,9754.35,9671.03,308.67,53.86,9667.52,9923.66
btc,2020,2,23,9663.25,9951.13,9663.25,29496972972.89,178038565852.03,333.23,9779.1,9690.46,314.77,56.82,9923.66,9664.37
btc,2020,2,24,9953.14,9972.51,9518.29,33711384526.73,175909878700.66,329.2,9785.54,9688.46,319.83,51.75,9664.37,9358.39
btc,2020,2,25,9662.36,9905.85,9315.48,34745765383.74,171785263057.6,327.97,9786.43,9663.07,332.41,50.24,9358.39,8829.54
btc,2020,2,26,9327.17,9368.46,8692.9,35462874215.67,163787589106.11,372.18,9764.17,9598.95,353.78,44.66,8829.54,8775.6
btc,2020,2,27,8695.37,8975.44,8565.95,37863755310.13,159196540576.94,413.76,9741.61,9535.62,361.02,44.6,8775.6,8731.61
btc,2020,2,28,8812.55,8892.75,8477.51,31653812954.63,157412038002.73,452.9,9718.78,9473.77,365.94,44.54,8731.61,8569.47
btc,2020,2,29,8750.14,8783.13,8569.47,28569338388.82,156921090953.11,497.74,9694.08,9404.21,365.67,44.14,8569.47,8557.5
btc,2020,3,1,8550.54,8710.27,8426.71,25805457967.58,154882913461.61,547.17,9652.29,9339.08,356.16,39.27,8557.5,8900.07
btc,2020,3,2,8549.34,8956.12,8518.22,29111523358.53,158184330288.86,566.86,9618.13,9305.31,361.93,41.56,8900.07,8772.48
btc,2020,3,3,8907.41,8907.41,8679.94,31679555793.1,159017072002.81,589.57,9576.21,9264.32,366.07,39.77,8772.48,8749.5
btc,2020,3,4,8762.36,8839.48,8554.1,29780398865.11,158496183520.32,607.86,9530.2,9224.72,368.17,38.65,8749.5,9051.14
btc,2020,3,5,8756.31,9136.66,8756.31,28798098411.37,162918336040.16,601.83,9487.09,9211.37,373.22,39.52,9051.14,9129.27
btc,2020,3,6,9062.48,9150.67,9007.39,33574313953.09,164282940136.18,600.44,9457.48,9205.05,364.27,42.54,9129.27,8898.94
