Symbol,Year,Month,Day,Open,High,Low,Volume,Market Cap,Volatility25,SMA25,EMA25,ATR25,RSI25,Close,NextClose
doge,2020,2,9,0.0,0.0,0.0,114199536.29,402164260.26,0.0,0.0,0.0,0.0,77.54,0.0,0.0
doge,2020,2,10,0.0,0.0,0.0,94760518.85,371921896.73,0.0,0.0,0.0,0.0,67.25,0.0,0.0
doge,2020,2,11,0.0,0.0,0.0,75142507.65,362131978.28,0.0,0.0,0.0,0.0,65.72,0.0,0.0
doge,2020,2,12,0.0,0.0,0.0,75009443.39,378455783.35,0.0,0.0,0.0,0.0,65.88,0.0,0.0
doge,2020,2,13,0.0,0.0,0.0,77768661.52,373982392.09,0.0,0.0,0.0,0.0,68.13,0.0,0.0
doge,2020,2,14,0.0,0.0,0.0,65937976.8,373934534.7,0.0,0.0,0.0,0.0,69.91,0.0,0.0
doge,2020,2,15,0.0,0.0,0.0,62685412.72,371426677.2,0.0,0.0,0.0,0.0,63.42,0.0,0.0
doge,2020,2,16,0.0,0.0,0.0,69219038.92,345838720.22,0.0,0.0,0.0,0.0,60.36,0.0,0.0
doge,2020,2,17,0.0,0.0,0.0,72728839.63,325747657.51,0.0,0.0,0.0,0.0,61.12,0.0,0.0
doge,2020,2,18,0.0,0.0,0.0,65769674.41,337974789.22,0.0,0.0,0.0,0.0,63.19,0.0,0.0
doge,2020,2,19,0.0,0.0,0.0,56857015.69,341894799.31,0.0,0.0,0.0,0.0,58.15,0.0,0.0
doge,2020,2,20,0.0,0.0,0.0,62153851.19,320088416.41,0.0,0.0,0.0,0.0,57.94,0.0,0.0
doge,2020,2,21,0.0,0.0,0.0,64323560.62,325404336.56,0.0,0.0,0.0,0.0,56.34,0.0,0.0
doge,2020,2,22,0.0,0.0,0.0,56182952.57,319468380.64,0.0,0.0,0.0,0.0,53.54,0.0,0.0
doge,2020,2,23,0.0,0.0,0.0,53471397.12,323610933.37,0.0,0.0,0.0,0.0,56.44,0.0,0.0
doge,2020,2,24,0.0,0.0,0.0,48319666.71,318608881.16,0.0,0.0,0.0,0.0,53.69,0.0,0.0
doge,2020,2,25,0.0,0.0,0.0,49615606.53,307362022.18,0.0,0.0,0.0,0.0,51.85,0.0,0.0
doge,2020,2,26,0.0,0.0,0.0,60206252.74,288248420.44,0.0,0.0,0.0,0.0,48.39,0.0,0.0
doge,2020,2,27,0.0,0.0,0.0,60059249.88,286887497.12,0.0,0.0,0.0,0.0,47.4,0.0,0.0
doge,2020,2,28,0.0,0.0,0.0,48093712.89,280950216.03,0.0,0.0,0.0,0.0,47.44,0.0,0.0
doge,2020,2,29,0.0,0.0,0.0,37421936.72,279313007.18,0.0,0.0,0.0,0.0,44.85,0.0,0.0
doge,2020,3,1,0.0,0.0,0.0,36401915.2,276601754.98,0.0,0.0,0.0,0.0,43.72,0.0,0.0
doge,2020,3,2,0.0,0.0,0.0,36818420.24,282676501.21,0.0,0.0,0.0,0.0,43.98,0.0,0.0
doge,2020,3,3,0.0,0.0,0.0,42680505.59,292581791.31,0.0,0.0,0.0,0.0,44.13,0.0,0.0
doge,2020,3,4,0.0,0.0,0.0,51602919.9,297296165.39,0.0,0.0,0.0,0.0,33.27,0.0,0.0
doge,2020,3,5,0.0,0.0,0.0,34555354.69,303389674.52,0.0,0.0,0.0,0.0,33.2,0.0,0.0
doge,2020,3,6,0.0,0.0,0.0,31792021.29,302467553.43,0.0,0.0,0.0,0.0,37.65,0.0,0.0
doge,2020,3,7,0.0,0.0,0.0,29973719.01,299186663.94,0.0,0.0,0.0,0.0,34.02,0.0,0.0
doge,2020,3,8,0.0,0.0,0.0,31312019.02,282520300.34,0.0,0.0,0.0,0.0,29.67,0.0,0.0
doge,2020,3,9,0.0,0.0,0.0,50742674.31,265389990.86,0.0,0.0,0.0,0.0,31.61,0.0,0.0
doge,2020,3,10,0.0,0.0,0.0,45135296.6,270330507.35,0.0,0.0,0.0,0.0,28.35,0.0,0.0
doge,2020,3,11,0.0,0.0,0.0,34149420.79,266175511.32,0.0,0.0,0.0,0.0,30.9,0.0,0.0
doge,2020,3,12,0.0,0.0,0.0,52072806.01,232051831.43,0.0,0.0,0.0,0.0,24.0,0.0,0.0
doge,2020,3,13,0.0,0.0,0.0,108649212.34,196056013.54,0.0,0.0,0.0,0.0,31.2,0.0,0.0
doge,2020,3,14,0.0,0.0,0.0,72356915.22,210648419.77,0.0,0.0,0.0,0.0,27.62,0.0,0.0
doge,2020,3,15,0.0,0.0,0.0,44921476.03,207489710.39,0.0,0.0,0.0,0.0,30.39,0.0,0.0
doge,2020,3,16,0.0,0.0,0.0,61114051.87,195176631.49,0.0,0.0,0.0,0.0,28.4,0.0,0.0
doge,2020,3,17,0.0,0.0,0.0,59565923.92,200018381.04,0.0,0.0,0.0,0.0,29.51,0.0,0.0
doge,2020,3,18,0.0,0.0,0.0,47205804.72,197379908.55,0.0,0.0,0.0,0.0,30.01,0.0,0.0
doge,2020,3,19,0.0,0.0,0.0,130017099.28,208965901.32,0.0,0.0,0.0,0.0,31.97,0.0,0.0
doge,2020,3,20,0.0,0.0,0.0,133288677.78,223719705.69,0.0,0.0,0.0,0.0,33.28,0.0,0.0
doge,2020,3,21,0.0,0.0,0.0,122582013.07,219687368.21,0.0,0.0,0.0,0.0,35.14,0.0,0.0
doge,2020,3,22,0.0,0.0,0.0,105603407.41,221822220.22,0.0,0.0,0.0,0.0,36.51,0.0,0.0
doge,2020,3,23,0.0,0.0,0.0,107145389.92,218081838.22,0.0,0.0,0.0,0.0,38.86,0.0,0.0
doge,2020,3,24,0.0,0.0,0.0,112590908.06,229974241.31,0.0,0.0,0.0,0.0,40.16,0.0,0.0
doge,2020,3,25,0.0,0.0,0.0,117232875.28,227075601.09,0.0,0.0,0.0,0.0,41.2,0.0,0.0
doge,2020,3,26,0.0,0.0,0.0,100086587.43,227941247.05,0.0,0.0,0.0,0.0,40.1,0.0,0.0
doge,2020,3,27,0.0,0.0,0.0,97426751.61,227992838.49,0.0,0.0,0.0,0.0,37.09,0.0,0.0
doge,2020,3,28,0.0,0.0,0.0,103466020.27,218327705.32,0.0,0.0,0.0,0.0,32.85,0.0,0.0
doge,2020,3,29,0.0,0.0,0.0,107367375.19,218457459.07,0.0,0.0,0.0,0.0,33.07,0.0,0.0
doge,2020,3,30,0.0,0.0,0.0,102300439.3,220671481.33,0.0,0.0,0.0,0.0,33.87,0.0,0.0
doge,2020,3,31,0.0,0.0,0.0,97891777.59,224490369.68,0.0,0.0,0.0,0.0,33.59,0.0,0.0
doge,2020,4,1,0.0,0.0,0.0,96375353.4,222224529.21,0.0,0.0,0.0,0.0,36.76,0.0,0.0
doge,2020,4,2,0.0,0.0,0.0,104598246.03,231486114.99,0.0,0.0,0.0,0.0,41.83,0.0,0.0
