Symbol,Year,Month,Day,Open,High,Low,Volume,Market Cap,Volatility25,SMA25,EMA25,ATR25,RSI25,Close,NextClose
sol,2020,5,3,0.71,0.73,0.66,3221877.05,0.0,0.09,0.69,0.68,0.13,49.74,0.68,0.66
sol,2020,5,4,0.68,0.7,0.62,3055335.26,0.0,0.09,0.68,0.67,0.13,49.25,0.66,0.65
sol,2020,5,5,0.67,0.68,0.62,3370808.69,0.0,0.07,0.67,0.67,0.1,39.67,0.65,0.62
sol,2020,5,6,0.64,0.67,0.62,2708976.44,0.0,0.07,0.67,0.67,0.09,43.92,0.62,0.6
sol,2020,5,7,0.62,0.63,0.57,3032455.23,0.0,0.05,0.65,0.66,0.09,37.7,0.6,0.61
sol,2020,5,8,0.61,0.63,0.59,2883767.73,0.0,0.05,0.65,0.66,0.08,42.3,0.61,0.6
sol,2020,5,9,0.6,0.62,0.59,2398483.59,0.0,0.05,0.64,0.65,0.08,46.72,0.6,0.54
sol,2020,5,10,0.6,0.61,0.51,2320719.01,0.0,0.05,0.64,0.65,0.08,45.0,0.54,0.52
sol,2020,5,11,0.54,0.57,0.5,2118907.97,0.0,0.06,0.63,0.64,0.08,41.24,0.52,0.54
sol,2020,5,12,0.51,0.56,0.51,2222639.01,0.0,0.06,0.63,0.63,0.08,43.3,0.54,0.55
sol,2020,5,13,0.54,0.56,0.52,2127181.8,0.0,0.06,0.62,0.62,0.08,43.6,0.55,0.57
sol,2020,5,14,0.55,0.58,0.55,2322706.24,0.0,0.06,0.62,0.62,0.07,48.44,0.57,0.55
sol,2020,5,15,0.57,0.58,0.55,1907665.52,0.0,0.06,0.62,0.61,0.07,50.9,0.55,0.6
sol,2020,5,16,0.56,0.61,0.55,2152732.8,0.0,0.06,0.62,0.61,0.07,51.42,0.6,0.61
sol,2020,5,17,0.6,0.64,0.59,2547155.17,0.0,0.06,0.62,0.61,0.07,45.57,0.61,0.65
sol,2020,5,18,0.61,0.67,0.61,3268845.15,0.0,0.06,0.62,0.62,0.06,52.13,0.65,0.62
sol,2020,5,19,0.65,0.65,0.61,2774343.12,0.0,0.06,0.62,0.62,0.06,50.08,0.62,0.58
sol,2020,5,20,0.62,0.63,0.58,2358546.24,0.0,0.06,0.62,0.61,0.06,45.37,0.58,0.6
sol,2020,5,21,0.58,0.61,0.54,2255409.67,0.0,0.06,0.62,0.61,0.06,47.68,0.6,0.64
sol,2020,5,22,0.6,0.67,0.58,2877548.18,0.0,0.06,0.62,0.61,0.06,54.46,0.64,0.6
sol,2020,5,23,0.64,0.64,0.59,3158239.78,0.0,0.06,0.62,0.61,0.06,46.38,0.6,0.55
sol,2020,5,24,0.61,0.61,0.55,2698978.24,0.0,0.05,0.61,0.61,0.06,36.4,0.55,0.6
sol,2020,5,25,0.55,0.63,0.54,3593130.3,0.0,0.05,0.61,0.61,0.06,44.02,0.6,0.57
sol,2020,5,26,0.6,0.61,0.57,3856002.16,0.0,0.05,0.6,0.61,0.06,39.16,0.57,0.59
sol,2020,5,27,0.57,0.61,0.57,2433903.81,0.0,0.04,0.6,0.6,0.06,41.34,0.59,0.57
sol,2020,5,28,0.59,0.59,0.56,2624285.27,0.0,0.04,0.59,0.6,0.05,41.95,0.57,0.58
sol,2020,5,29,0.57,0.59,0.57,2389947.74,0.0,0.03,0.59,0.6,0.05,43.28,0.58,0.58
sol,2020,5,30,0.58,0.6,0.57,2099182.62,0.0,0.03,0.59,0.6,0.05,45.19,0.58,0.57
sol,2020,5,31,0.58,0.59,0.57,2239583.28,0.0,0.03,0.59,0.6,0.05,46.41,0.57,0.58
sol,2020,6,1,0.57,0.59,0.57,1915681.04,0.0,0.03,0.58,0.6,0.05,48.05,0.58,0.57
sol,2020,6,2,0.58,0.59,0.55,2077250.04,9760382.62,0.03,0.58,0.59,0.05,46.79,0.57,0.59
sol,2020,6,3,0.57,0.59,0.57,1029135.09,9968458.95,0.03,0.58,0.59,0.05,48.78,0.59,0.59
sol,2020,6,4,0.59,0.59,0.57,864363.95,10027841.55,0.03,0.58,0.59,0.05,54.42,0.59,0.66
sol,2020,6,5,0.59,0.69,0.58,1997061.84,10671470.34,0.03,0.59,0.6,0.05,61.05,0.66,0.62
sol,2020,6,6,0.66,0.66,0.61,3701341.19,10862877.15,0.03,0.59,0.6,0.05,56.68,0.62,0.62
sol,2020,6,7,0.62,0.63,0.6,1018080.65,10582044.46,0.03,0.6,0.6,0.05,54.99,0.62,0.67
sol,2020,6,8,0.62,0.67,0.61,1036780.46,11031124.71,0.03,0.6,0.61,0.05,57.05,0.67,0.65
sol,2020,6,9,0.67,0.67,0.63,1359619.73,11151568.84,0.03,0.6,0.61,0.05,57.52,0.65,0.65
sol,2020,6,10,0.66,0.67,0.64,901452.06,11297007.94,0.03,0.61,0.61,0.05,54.05,0.65,0.57
sol,2020,6,11,0.65,0.65,0.57,1241101.25,10705247.71,0.03,0.6,0.61,0.05,47.03,0.57,0.59
