Symbol,Year,Month,Day,Open,High,Low,Volume,Market Cap,Volatility25,SMA25,EMA25,ATR25,RSI25,Close,NextClose
eth,2020,2,9,223.16,229.58,223.16,13672722983.32,24715676760.3,20.55,182.5,189.22,8.71,78.49,228.18,223.59
eth,2020,2,10,228.29,228.71,217.96,13466778794.72,24238035442.99,21.73,184.89,191.87,8.83,75.41,223.59,236.46
eth,2020,2,11,223.18,237.16,218.43,13695887436.45,24557459122.04,23.84,187.49,195.3,9.15,76.53,236.46,265.9
eth,2020,2,12,236.37,273.47,236.37,19873999516.35,27700565378.4,28.37,191.11,200.73,10.16,80.54,265.9,268.0
eth,2020,2,13,265.47,275.64,259.06,24172902881.4,29119590647.29,31.77,195.16,205.9,10.25,85.75,268.0,284.7
eth,2020,2,14,268.27,284.7,262.12,21852616416.02,29619636232.79,35.88,199.87,211.97,10.86,87.24,284.7,264.16
eth,2020,2,15,284.61,287.0,263.84,21444866296.89,30160560279.45,37.5,203.65,215.98,11.62,76.87,264.16,261.54
eth,2020,2,16,264.9,272.99,241.5,20684379742.05,28631061013.79,38.45,207.39,219.49,12.7,76.37,261.54,267.85
eth,2020,2,17,259.95,267.85,243.46,22974885011.57,27593003142.53,39.11,211.6,223.21,13.35,79.51,267.85,281.64
eth,2020,2,18,267.31,285.12,260.89,22461835255.88,29572853693.25,40.12,216.37,227.7,14.0,81.08,281.64,260.43
eth,2020,2,19,282.22,283.67,259.73,19868006599.69,30223487932.83,39.31,220.35,230.22,14.78,73.57,260.43,257.76
eth,2020,2,20,259.54,263.77,248.54,19767198242.21,28038273647.47,38.39,223.96,232.34,15.08,71.78,257.76,265.35
eth,2020,2,21,257.48,267.23,254.81,18123916533.39,28521847429.69,37.53,227.77,234.88,15.34,72.45,265.35,261.57
eth,2020,2,22,265.23,266.32,257.84,13993971505.81,28456047300.98,36.46,231.22,236.93,15.47,70.46,261.57,273.58
eth,2020,2,23,261.75,274.34,261.66,13681292041.54,29282473975.73,35.4,235.19,239.75,15.83,72.36,273.58,265.41
eth,2020,2,24,274.68,276.23,259.53,15342793708.64,29081886449.42,34.24,238.43,241.72,15.91,68.41,265.41,248.89
eth,2020,2,25,265.58,267.8,247.44,16373729917.1,27942089874.03,32.01,241.2,242.27,16.37,64.95,248.89,227.48
eth,2020,2,26,247.23,249.68,219.47,18288182164.4,25531807841.75,29.87,242.95,241.14,17.41,58.79,227.48,225.03
eth,2020,2,27,217.75,237.25,212.03,21295881650.23,24666125572.06,27.93,244.41,239.9,17.92,57.39,225.03,227.74
eth,2020,2,28,227.25,233.36,215.36,17413289895.91,24515322258.12,25.79,245.93,238.96,18.39,57.63,227.74,219.28
eth,2020,2,29,228.44,232.56,219.01,14837537619.78,24599185846.41,23.61,247.15,237.45,18.69,55.97,219.28,218.55
eth,2020,3,1,218.38,225.79,213.43,13121312388.82,23908687483.07,22.66,247.73,236.0,18.45,53.02,218.55,231.27
eth,2020,3,2,218.39,233.53,216.86,14173996849.21,24521418837.69,21.77,248.46,235.63,18.59,53.73,231.27,224.14
eth,2020,3,3,231.66,231.99,220.97,15118211689.47,24693731527.69,21.74,248.48,234.75,18.58,50.14,224.14,223.86
eth,2020,3,4,223.9,228.32,218.42,13852813891.31,24411801481.97,21.73,248.5,233.91,18.49,50.06,223.86,227.69
eth,2020,3,5,224.3,233.59,224.3,12452992052.83,24984078551.37,21.75,248.48,233.43,18.6,49.9,227.69,243.87
eth,2020,3,6,228.31,243.93,227.78,13692445973.31,25629907533.39,21.15,249.29,234.23,18.82,54.02,243.87,237.59
eth,2020,3,7,244.46,250.54,237.34,14232754402.63,26407124846.17,21.12,249.33,234.49,18.6,50.23,237.59,199.97
eth,2020,3,8,237.65,237.65,199.56,14767672602.76,24328453234.68,23.0,246.7,231.84,18.64,37.01,199.97,200.91
eth,2020,3,9,199.66,208.04,191.87,18677623019.65,21842094396.78,24.29,244.01,229.46,18.62,36.72,200.91,200.62
eth,2020,3,10,202.43,205.74,197.22,15684378003.3,21950399282.26,24.24,240.65,227.24,18.06,32.2,200.62,194.64
eth,2020,3,11,200.64,202.77,182.95,12545190706.13,21325048250.96,25.39,237.87,224.73,17.92,34.32,194.64,107.01
eth,2020,3,12,194.45,195.02,107.01,15189358319.21,16914804881.33,35.99,231.69,215.68,20.19,24.8,107.01,132.41
